Y,cor_sales_in_vol,cor_sales_in_val,CA_mag,value,ENSEIGNE,VenteConv,Feature
0,19,42,66,74,0.3380368098159509,39,0
0,19,25,80,54,0.4052874743326489,27,0
0,88,58,79,98,0.3215667311411992,123,0
0,19,34,78,44,0.42969172525689564,21,0
0,62,96,126,90,0.3380368098159509,96,0
0,0,21,5,44,0.6547291092745638,10,0
0,19,34,69,79,0.4052874743326489,42,0
0,73,24,11,0,0.6547291092745638,3,0
0,50,81,118,65,0.42969172525689564,59,0
0,132,126,116,60,0.42969172525689564,137,0
0,0,25,95,68,0.3380368098159509,18,0
0,0,20,76,61,0.6547291092745638,16,0
0,0,17,16,79,0.4387510008006405,22,0
0,62,60,70,48,0.4052874743326489,53,0
0,0,19,90,44,0.6294820717131474,10,0
0,36,40,99,54,0.3380368098159509,39,0
0,0,20,71,79,0.3380368098159509,22,0
0,134,123,109,58,0.3215667311411992,138,0
0,0,30,54,90,0.4052874743326489,28,0
0,103,123,94,65,0.42969172525689564,109,0
0,0,28,133,65,0.42969172525689564,17,0
0,36,49,80,68,0.4052874743326489,50,0
0,0,16,126,58,0.3380368098159509,15,0
0,0,17,26,65,0.4789402173913043,17,0
0,0,16,111,61,0.4052874743326489,16,0
0,19,32,133,56,0.42969172525689564,28,0
0,19,28,63,58,0.4052874743326489,29,0
0,0,18,4,56,0.125,14,0
0,36,45,121,60,0.4052874743326489,43,0
0,36,8,73,10,0.3380368098159509,8,0
0,62,33,104,56,0.3380368098159509,61,0
0,36,20,70,37,0.4052874743326489,27,0
0,114,48,89,0,0.4052874743326489,8,0
0,50,42,37,60,0.5057943925233644,55,0
0,19,27,118,56,0.42969172525689564,28,0
0,36,53,30,79,0.4052874743326489,59,0
0,36,54,34,46,0.5057943925233644,33,0
0,0,13,13,56,0.6547291092745638,14,0
0,19,31,2,79,0.6417910447761194,42,0
0,0,32,77,76,0.6547291092745638,21,0
0,0,12,9,56,0.125,14,0
0,36,104,63,106,0.4052874743326489,88,0
0,81,109,20,65,0.5057943925233644,88,1
0,73,96,93,79,0.3380368098159509,94,0
